len_of_url,no_of_dots,security_sensitive_words,no_of_hyphens_in_dom,dir_len,no_of_subdir,domain_len,domain_token_count,path_token_count,ip_present,largest_domain_tok_len,avg_dom_token_len,largest_path_token_length,avg_path_token_length,suspicious tld,len_of_file,total_dots_in_file,total_delims_in_file,len_of_argument,no_of_variables,len_of_largest_variable_val,max_no_of_argum_delims,create_age(months),expiry_age(months),update_age(days),zipcode,Lable,URL
16.0,1.0,0.0,0.0,1.0,0.0,15.0,2.0,0.0,0.0,11.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0,http://killerbeans.com/
47.0,7.0,0.0,0.0,18.0,2.0,15.0,4.0,2.0,0.0,5.0,3.0,9.0,7.5,0.0,14.0,4.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,http://www.mitek.co.zw/libraries/course/mycours.htm...
27.0,3.0,0.0,0.0,1.0,0.0,26.0,4.0,0.0,0.0,16.0,5.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0,http://www.bobbymooreonline.co.uk/
66.0,7.0,0.0,0.0,18.0,2.0,12.0,3.0,2.0,0.0,5.0,3.3333333333333335,10.0,7.5,0.0,9.0,1.0,0.0,27.0,1.0,21.0,0.0,-1.0,-1.0,-1.0,-1.0,1,http://cmfri.org.in/invitation/excel/excel.php?rand=13inboxlightaspxn....
23.0,3.0,0.0,0.0,1.0,0.0,22.0,4.0,0.0,0.0,11.0,4.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0,http://www.yarracoffee.com.au/
23.0,3.0,0.0,0.0,12.0,3.0,11.0,4.0,3.0,1.0,3.0,2.0,4.0,2.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,http://46.4.34.205/velo/tmp/v/
45.0,5.0,0.0,0.0,11.0,2.0,22.0,2.0,2.0,0.0,18.0,10.5,6.0,4.0,0.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,http://nooterconstruction.com/cr/Gdoccc/index.php...
22.0,2.0,0.0,0.0,1.0,0.0,21.0,3.0,0.0,0.0,13.0,6.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0,http://www.cariboucoffee.com/
33.0,1.0,0.0,0.0,9.0,2.0,20.0,2.0,2.0,0.0,17.0,9.5,4.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,http://swarnajayanthiosa.lk/kl/dpbx/dpbx
34.0,3.0,0.0,0.0,1.0,0.0,13.0,3.0,0.0,0.0,7.0,3.6666666666666665,0.0,0.0,0.0,20.0,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,http://mu5436y.at.ua/incorrect_email.html
20.0,3.0,0.0,0.0,1.0,0.0,19.0,4.0,0.0,0.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0,http://www.whiterose.co.th/
29.0,3.0,0.0,0.0,8.0,2.0,12.0,3.0,2.0,0.0,5.0,3.3333333333333335,3.0,2.5,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,http://mytpu.com.au/js/lib/gkmjg.php
46.0,2.0,0.0,1.0,12.0,3.0,13.0,2.0,3.0,0.0,9.0,6.0,5.0,2.6666666666666665,0.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0,http://e-drexler.com/p/idx04/00/0404drexlerBioCV.html
14.0,2.0,0.0,0.0,1.0,0.0,13.0,3.0,0.0,0.0,6.0,3.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0,http://pivnet.dlr.de/
26.0,3.0,0.0,1.0,1.0,0.0,25.0,4.0,0.0,0.0,15.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0,http://www.theatre-reviews.co.uk/
66.0,5.0,1.0,0.0,36.0,4.0,21.0,2.0,4.0,0.0,17.0,10.0,10.0,7.75,0.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,http://savingfaithchurch.org/wp-content/plugins/update/products/index....
66.0,7.0,0.0,0.0,1.0,0.0,19.0,3.0,0.0,0.0,9.0,5.666666666666667,0.0,0.0,0.0,46.0,5.0,1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,http://www.facebooks.cloud/PayPlls.CEanada.tNZnZZlR3ZdyZZ-5RkZZDRTZZBy...
21.0,2.0,0.0,0.0,1.0,0.0,20.0,3.0,0.0,0.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,http://www.icloudbrasil.com/
40.0,2.0,1.0,0.0,12.0,1.0,28.0,3.0,1.0,0.0,20.0,8.666666666666666,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0,http://www.concordiaexpeditions.com/luckypilot/
35.0,3.0,0.0,0.0,6.0,1.0,17.0,3.0,1.0,0.0,9.0,5.0,4.0,4.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,http://www.billposas.com/2016/document.php
21.0,2.0,0.0,0.0,1.0,0.0,20.0,3.0,0.0,0.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0,http://www.jackstackbbq.com/
19.0,2.0,0.0,0.0,1.0,0.0,18.0,3.0,0.0,0.0,10.0,5.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0,http://www.coffeefool.com/
66.0,9.0,0.0,1.0,0.0,0.0,66.0,6.0,0.0,0.0,17.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,http://appleid.apple.com-subscriptions.manager8040477235.bertovic.com....
19.0,2.0,0.0,0.0,1.0,0.0,18.0,3.0,0.0,0.0,10.0,5.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0,http://www.madridismo.org/
17.0,2.0,0.0,1.0,1.0,0.0,16.0,3.0,0.0,0.0,9.0,4.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0,http://www.cicr-icrc.ca/
62.0,4.0,0.0,0.0,37.0,6.0,14.0,4.0,6.0,0.0,4.0,2.75,8.0,5.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0,http://news.bbc.co.uk/sport1/hi/football/teams/m/man_city/6241052.stm
23.0,3.0,0.0,0.0,1.0,0.0,15.0,3.0,0.0,0.0,8.0,4.333333333333333,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,http://10215648.2fh.co/Log.php
66.0,4.0,0.0,0.0,40.0,4.0,10.0,2.0,4.0,0.0,7.0,4.5,13.0,8.75,0.0,16.0,3.0,1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,http://dekanas.eu/delivery/ussaa/www_usaa_come/inetlogon/servelet_usaa...
45.0,4.0,0.0,0.0,19.0,3.0,16.0,4.0,3.0,0.0,4.0,3.25,8.0,5.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0,http://www.grc.nasa.gov/WWW/K-12/airplane/nseqs.html
35.0,3.0,0.0,0.0,1.0,0.0,21.0,3.0,0.0,0.0,13.0,6.333333333333333,0.0,0.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0,http://www.broadwayworld.com/photogame.cfm
66.0,4.0,1.0,0.0,31.0,4.0,16.0,2.0,4.0,0.0,12.0,7.5,9.0,6.5,0.0,19.0,3.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,http://lakepineoral.com/junk/Account/update/documents/4c2374a223ff8bd4...
21.0,2.0,0.0,0.0,1.0,0.0,20.0,3.0,0.0,0.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0,http://www.indiagazette.com/
22.0,2.0,0.0,0.0,1.0,0.0,21.0,3.0,0.0,0.0,13.0,6.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0,http://www.surplusglobal.com/
38.0,3.0,0.0,0.0,5.0,1.0,24.0,3.0,1.0,0.0,17.0,7.333333333333333,3.0,3.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,http://chilipepperindian.com.au/log/index.htm
64.0,5.0,0.0,0.0,40.0,5.0,21.0,3.0,5.0,0.0,14.0,6.333333333333333,10.0,6.8,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,http://polaresoficial.com.br/site/wp-content/languages/themes/Zone1/...
29.0,2.0,0.0,0.0,13.0,4.0,16.0,3.0,4.0,0.0,8.0,4.666666666666667,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1,http://www.bayanone.net/aa/22/33/44/
